Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
INS.E.024.ST,0,0.0187141527809032,0,0.0946536739626022,0,0.677330784675458,0,0.180018371195993,0,0,0,0.297938544492573,0.0429307332897808,0,0.00502355760281307,0.275194817285645,0,0.0389869749131213,0,1.41802494093608,0.0639320646815534,0.0202598972439618,0.04,0.154837351047567,1.10109937126963,3.13300851306048
INS.E.026.ST,1.49546355948632,0,0,0.754028057679348,0,0.356780958385383,0.164418190683223,0.558768884722916,0,0.107877213809495,0,0.404217121086564,0.0755125243836554,0,0.578072279626938,0.452487403578033,0.518184406724176,0,0,0.758090153382726,0,0,0.01,0.271361691741633,0.981059916971084,6.22390075354878
INS.E.028.ST,0,0,0.148464102326845,1.38607998475255,0,2.78641374015726,0,0.682269530129872,0,0.222072715862617,0,1.23742825769295,0.101084596771829,0.235371516945139,0.109488488255384,1.7876205544297,0.240640075039264,0.737724873830296,0,1.64890086468001,0.0429520150769094,0.0659501713193554,0.2,0.0650277034476782,1.07998312714964,11.43246148727
INS.E.029.ST,0.0260434174429022,0,0.0490373379301102,0.274376986575459,0,0.548705757374154,0,0.23787654869635,0.0714108825483966,0,0,0.459336142511672,0.295130591122589,0.107477268904901,0.201522181259375,1.73746032998065,0,0,0,4.75909519568951,0,0.182845049108756,0.08,0.101799340066139,1.15809518895683,8.95031768914483
INS.E.033.ST,1.03615631143325,0.895527586819274,0.640143085046143,2.32984509502753,0,1.4255900032509,1.11908674938399,1.68140233635048,0,0.325796223034994,0,1.58446998886047,0.3087763021053,0,1.10311430088715,1.01823404947976,0.0350915805906833,0,0,0.52701787136642,0.0390082728352131,0,0.02,0.220467837168917,1.01249892609266,14.0692597564716
INS.E.034.ST,0,0.113978552419341,0.0413457975303293,0,0.193322117752938,0,0,0.0886999276944282,0,0.147835093624108,0,0.0288526717997481,0.0271600640794244,0,0.0109775352298832,0.361657830701484,0,0.00731840334974538,0,0.390580658058057,0.00686963302191213,0,0.39,0.0339637968856587,1.09157223528745,1.4185982852614
INS.E.035.ST,0.13688645426586,0,0.0556513024003835,0.533382172460672,0,0,0.192992429747231,0.225440501612515,0,0.09458452223807,0,0.108969183272161,0.0653225964127472,0,0.0682828567158953,0.265577569798285,0.0372906200865751,0.0106064399561672,0,0.231693245631392,0,0,0.55,0.0053112789515339,1.09860820674422,2.02667989459795
INS.E.036.ST,0.250132223842169,0,0.0176534194626965,0.204572496143297,0,0.34830556315114,0,0.0560944098869999,0,0.202368736595408,0,0.100973925621625,0.0317148200579397,0.0401332929473222,0.00429429293736137,0.832592480037326,0,0.081851023422649,0,1.55715791478943,0.0140851940582168,0.137519212616765,0.02,0.226710135682842,1.03161913908171,3.87944900557035
INS.A.007.C2T,0.461498773153023,0.0909435886470112,0.0195975831804345,0.777960267349655,0,0.932979599792777,0.150740762861547,0.87977106312157,0.0211490651484476,0,0,0.329014788803837,0.00418221672688142,0.114070628694148,1.03045543938558,0.727387621859479,0.546247109818048,0,0,0.872074920597238,0,0.0122190758332828,0.07,0.1155559492334,1.05021199350205,6.97029250497296
INS.A.010.C2T,0.115700724505969,0,0.0937759197233783,0.212862003864248,0,0.605766718769836,0,0.133486951660821,0,0,0,0.184809086697796,0.17070338173799,0.579965160772309,0.198130162337655,0.591484514482196,0,0.197774270770096,0,1.49267841266284,0,0.0543524338545633,0.0600000000000001,0.136362132510202,1.06094463022682,4.6314897418397
INS.A.011.C2T,0.116262860294728,0,0.551417195758921,4.94845790463508,0,0,2.08380334665004,1.06884679140674,0,0,0,2.17562840847106,0.162393173454325,0.0968784194164308,0.535852473883983,2.33309834764862,0.27338287535903,0.157048328547205,0,4.07268493458796,0.0464889222417354,0.122058231004246,0.18,0.0671482905188453,1.09389827605565,18.7443022133601
INS.A.012.C2T,0,0,0.388760443633261,0.017292224020376,0,1.56934788937061,0,0.58938669583806,0,0,0,0.21615020138454,0.914199278102617,2.52294270471513,0,1.149063543174,0.0836146108730414,0.564478830092553,0,4.16820556896111,0,1.36702316579795,0.38,0.0352569319756464,1.11281820743444,13.5504651559632
INS.B.014.C2T,0.866886742658841,0,0.274475626485754,1.86177661739728,0,1.14897500008445,0.488725281131986,0.436154450960201,0,0,0,0.491885407619528,0.240924506946827,0,0.155150105160347,0.968660493487694,0,0.309935929695641,0,0.156845861741125,0.0615689238467901,0,0.02,0.247502244342786,0.993872968970286,7.46196494721646
INS.B.015.C2T,0.167883291529571,0,0.100377077359278,0.587750936589487,0,0.192913729088996,0.49468955765805,0.531799485588346,0,0,0,0.246860854107179,0.630600127785756,1.02757487321598,0.371719760246514,0.494348031408861,0,0.0269976238091905,0,0.430546380803237,0,0.135651303419452,0.0600000000000001,0.12365971818652,1.03381900587235,5.4397130326099
INS.B.020.C2T,0.228287751184248,0.155107269485333,0,0.336101927268083,0,0.532995552139914,0.130576126981872,0.360624218976552,0,0.366204363233661,0.0391640094342978,0.0685252864661204,0,0.398823480225296,0.727216260449638,0.199254744788013,0,0,0,0.601086943302325,0,0.0518616872364084,0.04,0.162462667143299,1.03781636334924,4.19582962117176
INS.B.021.C2T,0.332279221718996,0,0.284924187556364,1.50187082029283,0,1.69270536752897,0.0457275809055122,0.829576571720313,0,0.475811325879903,0,1.14600331140378,0.0451745135183598,1.77980955542809,0.853737768315373,2.7079853042735,0,0,0,1.58158184614741,0,0.139347894464788,0.13,0.0764357010960095,1.06544725496606,13.4165352691542
INS.B.022.C2T,0.165617514386209,0,0.116996765985807,0.624053248600577,0,2.12819504886502,0,0.401682807509154,0,0,0,0.695796014189225,0.244155133982021,0.752929837569789,0.760589377880239,0.775381094715995,0,0,0,3.37000254713725,0,0.0847371279708982,0.25,0.0559726488864967,1.11003692959304,10.1201365187922
INS.B.023.C2T,1.03682054605188,0,0.017963822131556,1.38546355340289,0,1.5900750489699,0.0914169809526715,0.270727898631806,0,0.338904163461045,0.30402331123753,0.0473570880572257,0.774211791527161,0.754453046965814,0.528095361765836,0.309961330893337,0,0,0.0894420328035233,0,0.0656664136585669,0,0.02,0.230325971684298,0.999148590066895,7.60458239051074
